pitch_pk,pitcher,player_name,pitch_type,pitch_name,game_year,description,game_date,inning,inning_topbot,outs_when_up,balls,strikes,release_speed,release_spin_rate,release_pos_x,release_pos_z,release_extension,pfx_x,pfx_z,ivb,hb,ivb_abs,hb_abs,spin,expected_movement,movement_total,movement_over_expected,movement_gap,movement_sep,movement_angle,is_good_outcome,nastiness_raw,Nastiness_plus
678024_777737_70_4,678024,"Vasil, Mike",ST,Sweeper,2025,called_strike,2025-05-28 00:00:00,7,Bot,2,1,2,81.8,2692,-1.68,5.72,6.2,2.15,-0.35,-4.199999999999999,25.799999999999997,4.199999999999999,25.799999999999997,2692,1.346,26.139625092950354,24.793625092950354,24.793625092950354,25.919999999999998,-9.24611274556325,1,5.667806709309654,134.90926002371992
605447_777880_60_3,605447,"Romano, Jordan",SL,Slider,2025,called_strike,2025-05-18 00:00:00,9,Top,2,1,1,83.9,2100,-2.13,6.01,7.6,-0.06,-0.04,-0.48,-0.72,0.48,0.72,2100,1.05,0.8653323061113574,-0.18466769388864268,0.18466769388864268,0.288,-146.30993247402023,1,5.6637147791468845,134.8661484427678
656849_778346_31_1,656849,"Peterson, David",SL,Slider,2025,called_strike,2025-04-12 00:00:00,4,Bot,1,0,0,85.9,2369,2.75,5.96,6.9,-0.06,-0.04,-0.48,-0.72,0.48,0.72,2369,1.1845,0.8653323061113574,-0.31916769388864275,0.31916769388864275,0.288,-146.30993247402023,1,5.663702725480476,134.86602144827023
620454_777954_72_1,620454,"Castillo, José",SL,Slider,2025,called_strike,2025-05-11 00:00:00,9,Top,1,0,0,84.2,2380,3.17,5.75,6.3,-0.12,-0.01,-0.12,-1.44,0.12,1.44,2380,1.19,1.4449913494550755,0.2549913494550755,0.2549913494550755,1.5839999999999999,-175.2363583092738,1,5.661239546464292,134.84006999325226
657571_777325_58_4,657571,"Ferguson, Caleb",FC,Cutter,2025,swinging_strike,2025-06-28 00:00:00,7,Top,1,0,2,87.8,2660,2.37,5.85,6.4,-0.05,-0.04,-0.48,-0.6000000000000001,0.48,0.6000000000000001,2660,1.33,0.7683749084919419,-0.5616250915080582,0.5616250915080582,0.14400000000000013,-141.34019174590992,1,5.661058682474908,134.83816445425003
696136_777153_54_2,696136,"Wicks, Jordan",SL,Slider,2025,called_strike,2025-07-11 00:00:00,7,Bot,0,1,0,86.8,2554,2.06,6.22,6.3,-0.08,-0.04,-0.48,-0.96,0.48,0.96,2554,1.2770000000000001,1.0733126291998991,-0.20368737080010102,0.20368737080010102,0.576,-153.434948822922,1,5.657396112369159,134.79957650642933
592662_776608_43_1,592662,"Ray, Robbie",KC,Knuckle Curve,2025,swinging_strike,2025-08-24 00:00:00,5,Bot,0,0,0,77.7,2012,2.8,6.01,5.9,-0.04,-0.04,-0.48,-0.48,0.48,0.48,2012,1.006,0.6788225099390857,-0.32717749006091434,0.32717749006091434,0.0,-135.0,1,5.652995815185771,134.75321604554927
678606_776743_58_3,678606,"Ferrer, Jose A.",SL,Slider,2025,swinging_strike,2025-08-14 00:00:00,8,Top,0,1,1,90.7,2550,3.24,5.76,5.9,-0.04,-0.04,-0.48,-0.48,0.48,0.48,2550,1.2750000000000001,0.6788225099390857,-0.5961774900609145,0.5961774900609145,0.0,-135.0,1,5.652971679251787,134.7529617552192
607074_777153_12_5,607074,"Rodón, Carlos",SL,Slider,2025,swinging_strike,2025-07-11 00:00:00,2,Top,2,2,2,87.2,2705,2.53,6.21,6.0,-0.13,-0.01,-0.12,-1.56,0.12,1.56,2705,1.3525,1.5646085772486358,0.21210857724863574,0.21210857724863574,1.728,-175.6012946450045,1,5.651834234718139,134.74097791626292
605177_789324_29_5,605177,"Chafin, Andrew",SL,Slider,2025,swinging_strike,2025-03-24 00:00:00,4,Bot,0,3,1,79.7,2457,2.27,6.51,6.3,-0.09,-0.04,-0.48,-1.08,0.48,1.08,2457,1.2285,1.1818629362155326,-0.0466370637844673,0.0466370637844673,0.7200000000000001,-156.03751102542185,1,5.65024179368041,134.7242003448043
